TREAT;PLOT;YEAR;MONTH;JDAY;FFT;TTS;TT_ENC;HT_SOILC;CET_SOIL;TT_SOILC;FFH;TH_ENC;HH_SOILC;CEH_SOIL;TH_SOILC;FHprcn;FAprcn;FFA;TENVIRON;TSOIL;TFLSOIL;RAINFALL;WCSOIL;EMOIST;CO2gmonth
GT;2;2021;11;315;2.886;27;24;15.8;NA;17.77;1.495;20;15.8;NA;17.77;51.8018018;48.1981982;1.391;15.4794537;10.45012616;-2.747284259;58.1;0.170109491;53.29002662;329.142528
GT;5;2022;13;386;2.046;22;20;12.9;NA;20.47;1.35;23;12.9;NA;20.47;65.98240469;34.01759531;0.696;16.3162052;12.64212074;-2.732227823;72.9;0.154950045;19.3860905;233.342208
GT;3;2022;13;386;2.068;22;23;12.9;NA;20.47;1.075;20;12.9;NA;20.6;51.98259188;48.01740812;0.993;16.3162052;12.64212074;-2.732227823;72.9;0.154950045;19.3860905;235.851264
GT;4;2022;13;386;2.068;22;21;12.9;NA;20.47;0.664;21;12.9;NA;19.94;32.10831721;67.89168279;1.404;16.3162052;12.64212074;-2.732227823;72.9;0.154950045;19.3860905;235.851264
GT;5;2022;14;422;1.417;20.3;20;14.7;0.67;19.96;0.88;20;9.73;0.9;21.19;62.10303458;37.89696542;0.537;13.90605407;12.6274256;-1.819924603;77.9;0.131863343;18.60814286;161.606016
GT;1;2022;14;422;1.283;23;20;14.7;0.67;19.96;0.832;21;14.7;0.67;19.96;64.84801247;35.15198753;0.451;13.90605407;12.6274256;-1.819924603;77.9;0.131863343;18.60814286;146.323584
GT;2;2022;14;422;1.283;23;21;14.7;0.67;19.96;0.573;20;14.7;0.67;19.96;44.6609509;55.3390491;0.71;13.90605407;12.6274256;-1.819924603;77.9;0.131863343;18.60814286;146.323584
GT;4;2022;14;422;1.41;24;21;14.7;0.67;19.96;1.03;21;15.53;1.12;19.23;73.04964539;26.95035461;0.38;13.90605407;12.6274256;-1.819924603;77.9;0.131863343;18.60814286;160.80768
GT;4;2022;15;453;1.8;23;15;3;TD;22.11;1.0457;15;3;TD;22.11;58.09444444;41.90555556;0.7543;13.09194213;12.35418356;1.054762731;117;0.175380556;26.3775419;205.2864
GT;5;2022;15;453;1.08;19;13;3;TD;22.11;0.83;13;5.88;1.05;25.93;76.85185185;23.14814815;0.25;13.09194213;12.35418356;1.054762731;117;0.175380556;26.3775419;123.17184
GT;2;2022;15;453;1.3;18;15;3;TD;22.11;0.8125;10;5.88;1.05;25.93;62.5;37.5;0.4875;13.09194213;12.35418356;1.054762731;117;0.175380556;26.3775419;148.2624
GT;1;2022;15;453;1.52;21;13;3;TD;22.11;0.853;13;3;TD;22.11;56.11842105;43.88157895;0.667;13.09194213;12.35418356;1.054762731;117;0.175380556;26.3775419;173.35296
GT;3;2022;15;453;1.95;25;15;3;TD;22.11;0.975;13;4.01;1.01;30.09;50;50;0.975;13.09194213;12.35418356;1.054762731;117;0.175380556;26.3775419;222.3936
RC;1;2021;3;65;1.46;16.44290084;19;9.2;NA;17.57;0.99;24.15;NA;NA;NA;67.80821918;32.19178082;0.47;11.9149181;12.52240684;-2.973684162;7.9;0.105812612;14.16234407;166.51008
RC;2;2021;3;65;1.71;18;19;9.2;NA;17.57;1.033;24.15;5.88;1.05;25.93;60.40935673;39.59064327;0.677;11.9149181;12.52240684;-2.973684162;7.9;0.105812612;14.16234407;195.02208
RC;5;2021;3;65;1.61;17.8;19;9.2;NA;17.57;1.1;16.15;9.4;NA;14.66;68.32298137;31.67701863;0.51;11.9149181;12.52240684;-2.973684162;7.9;0.105812612;14.16234407;183.61728
RC;5;2021;4;116;1.7;20;NA;NA;NA;NA;0.8;15.15;NA;NA;NA;47.05882353;52.94117647;0.9;10.57299123;12.86702569;0.873260417;118.4;0.152616898;4.847590278;193.8816
RC;4;2021;4;116;1.4;18;19;14.8;NA;20.92;0.7;23.15;NA;NA;NA;50;50;0.7;10.57299123;12.86702569;0.873260417;118.4;0.152616898;4.847590278;159.6672
RC;2;2021;4;116;1.1;23;19;14.8;NA;20.92;0.6;20.15;14.8;NA;21.23;54.54545455;45.45454545;0.5;10.57299123;12.86702569;0.873260417;118.4;0.152616898;4.847590278;125.4528
RC;3;2021;4;116;1.05;16;19;14.8;NA;20.92;0.8;19.15;NA;NA;NA;76.19047619;23.80952381;0.25;10.57299123;12.86702569;0.873260417;118.4;0.152616898;4.847590278;119.7504
RC;2;2021;6;165;1.77;14;14;22.33;0.51;10.1;1.38;14;50.97;0.62;12.23;77.96610169;22.03389831;0.39;9.63072636;9.423665741;3.154630787;214.8;0.176741667;29.97385231;201.86496
RC;4;2021;6;165;1.217;12.6;13;26.9;0.44;12.37;0.8;13;28.13;0.51;9.83;65.73541495;34.26458505;0.417;9.63072636;9.423665741;3.154630787;214.8;0.176741667;29.97385231;138.796416
RC;5;2021;6;165;1.272;13;13;23.9;0.44;14.4;0.73;13;22.9;0.46;12.53;57.38993711;42.61006289;0.542;9.63072636;9.423665741;3.154630787;214.8;0.176741667;29.97385231;145.069056
RC;3;2021;6;165;1.208;12.57;13;14.67;0.1;12.57;0.9;13;31.67;0.46;11.03;74.50331126;25.49668874;0.308;9.63072636;9.423665741;3.154630787;214.8;0.176741667;29.97385231;137.769984
RC;2;2021;7;210;1.5;14.4;11;20.1;0.52;11.93;0.8;9;21.13;0.47;10.73;53.33333333;46.66666667;0.7;8.076010789;9.495588486;1.202239023;116;0.273050179;34.59893772;171.072
RC;3;2021;7;210;0.727;10;9;12.03;0;11.93;0.256;9;26.33;0.55;11.4;35.21320495;64.78679505;0.471;8.076010789;9.495588486;1.202239023;116;0.273050179;34.59893772;82.912896
RC;5;2021;7;210;1.187;12;9;22.63;0.44;11;0.596;8;19.37;0.64;10.27;50.210615;49.789385;0.591;8.076010789;9.495588486;1.202239023;116;0.273050179;34.59893772;135.374976
RC;1;2021;7;210;1.611;15;11;NA;NA;NA;0.915;8;59.1;0.64;10.03;56.79702048;43.20297952;0.696;8.076010789;9.495588486;1.202239023;116;0.273050179;34.59893772;183.731328
RC;4;2021;7;210;0.653;9;9;24.3;0.52;11.57;0.44;9;20.83;0.47;10.2;67.381317;32.618683;0.213;8.076010789;9.495588486;1.202239023;116;0.273050179;34.59893772;74.473344
RC;5;2021;8;238;1.168;12.87;12;37.13;0.34;14.83;0.365;12;18;0.22;11.47;31.25;68.75;0.803;8.830695679;9.355555332;0.279471998;180.3;0.220495968;50.52911268;133.208064
RC;4;2021;8;238;1.285;15.1;12;37.43;0.35;15.1;0.62;12;35.53;0.33;14.5;48.24902724;51.75097276;0.665;8.830695679;9.355555332;0.279471998;180.3;0.220495968;50.52911268;146.55168
RC;3;2021;8;238;1.232;14.83;12;18;0.22;11.47;0.693;12;37.13;0.34;14.83;56.25;43.75;0.539;8.830695679;9.355555332;0.279471998;180.3;0.220495968;50.52911268;140.507136
RC;2;2021;8;238;1.031;11.57;12;23.63;0.38;12.87;0.651;12;20.93;0.46;14.63;63.14258002;36.85741998;0.38;8.830695679;9.355555332;0.279471998;180.3;0.220495968;50.52911268;117.583488
RC;5;2021;9;273;1.5;17;16;28.76;0.46;15.28;0.5;16;NA;NA;NA;33.33333333;66.66666667;1;13.98630648;10.02274398;-0.770357407;112.7;0.324565741;47.44897917;171.072
RC;4;2021;9;273;1.8;22;15;NA;NA;NA;0.5;15;NA;NA;NA;27.77777778;72.22222222;1.3;13.98630648;10.02274398;-0.770357407;112.7;0.324565741;47.44897917;205.2864
RC;2;2021;9;273;1.6;18;15;NA;NA;NA;0.54;16;NA;NA;NA;33.75;66.25;1.06;13.98630648;10.02274398;-0.770357407;112.7;0.324565741;47.44897917;182.4768
RC;3;2021;9;273;1.8;22;15;NA;NA;NA;0.54;16;NA;NA;NA;30;70;1.26;13.98630648;10.02274398;-0.770357407;112.7;0.324565741;47.44897917;205.2864
RC;2;2021;10;282;2.17;20;19;NA;NA;NA;1.39;19;NA;NA;NA;64.05529954;35.94470046;0.78;15.4688172;10.88723096;-2.263324821;62.7;0.184021953;50.38998499;247.48416
RC;3;2021;10;282;2.48;21;19;NA;NA;NA;1.58;19;9.4;TD;18.33;63.70967742;36.29032258;0.9;15.4688172;10.88723096;-2.263324821;62.7;0.184021953;50.38998499;282.83904
RC;4;2021;10;282;2.09;20;19;NA;NA;NA;1.1;19;NA;NA;NA;52.63157895;47.36842105;0.99;15.4688172;10.88723096;-2.263324821;62.7;0.184021953;50.38998499;238.36032
RC;3;2021;11;315;1.609;18.5;17;15.8;NA;13.46;0.819;17;15.9;NA;12.79;50.90118086;49.09881914;0.79;15.4794537;10.45012616;-2.747284259;58.1;0.170109491;53.29002662;183.503232
RC;4;2021;11;315;1.631;19;17;15.8;NA;13.46;1.217;17;15.8;NA;13.46;74.61679951;25.38320049;0.414;15.4794537;10.45012616;-2.747284259;58.1;0.170109491;53.29002662;186.012288
RC;5;2021;11;315;1.487;17;17;15.8;NA;13.46;1.134;20;15.9;NA;12.79;76.26092804;23.73907196;0.353;15.4794537;10.45012616;-2.747284259;58.1;0.170109491;53.29002662;169.589376
RC;1;2021;11;315;1.988;25.49381869;17;15.8;NA;13.46;0.988;17;15.8;NA;13.46;49.69818913;50.30181087;1;15.4794537;10.45012616;-2.747284259;58.1;0.170109491;53.29002662;226.727424
RC;5;2022;13;386;1.756;19.9;20;12.9;NA;19.94;0.66;20;12.9;NA;20.6;37.58542141;62.41457859;1.096;16.3162052;12.64212074;-2.732227823;72.9;0.154950045;19.3860905;200.268288
RC;2;2022;13;386;1.772;20;21;12.9;NA;19.94;0.795;23;12.9;NA;20.47;44.86455982;55.13544018;0.977;16.3162052;12.64212074;-2.732227823;72.9;0.154950045;19.3860905;202.093056
RC;4;2022;13;386;1.698;19.5;20;12.9;NA;19.94;1.13;21;12.9;NA;19.94;66.54888104;33.45111896;0.568;16.3162052;12.64212074;-2.732227823;72.9;0.154950045;19.3860905;193.653504
RC;4;2022;14;422;1.652;19.2506093;19;15.53;1.12;19.23;0.778;19;15.53;1.12;19.23;47.09443099;52.90556901;0.874;13.90605407;12.6274256;-1.819924603;77.9;0.131863343;18.60814286;188.407296
RC;3;2022;14;422;2.283;24.5;19;15.53;1.12;19.23;1.382;21;14.7;0.67;19.96;60.53438458;39.46561542;0.901;13.90605407;12.6274256;-1.819924603;77.9;0.131863343;18.60814286;260.371584
RC;1;2022;14;422;1.007;15;21;15.53;1.12;19.23;0.622;19;15.53;1.12;19.23;61.76762661;38.23237339;0.385;13.90605407;12.6274256;-1.819924603;77.9;0.131863343;18.60814286;114.846336
RC;5;2022;14;422;1.372;17;19;15.53;1.12;19.23;0.858;19;9.73;0.9;21.19;62.53644315;37.46355685;0.514;13.90605407;12.6274256;-1.819924603;77.9;0.131863343;18.60814286;156.473856
RC;4;2022;15;453;1.32;18.5;10;5.88;1.05;25.93;0.692;13;4.01;1.01;30.09;52.42424242;47.57575758;0.628;13.09194213;12.35418356;1.054762731;117;0.175380556;26.3775419;150.54336
RC;1;2022;15;453;1.318;17;15;5.88;1.05;25.93;0.96;13;3;TD;22.11;72.83763278;27.16236722;0.358;13.09194213;12.35418356;1.054762731;117;0.175380556;26.3775419;150.315264
RC;5;2022;15;453;1.295;18.5;13;5.88;1.05;25.93;0.522;15;5.88;1.05;25.93;40.30888031;59.69111969;0.773;13.09194213;12.35418356;1.054762731;117;0.175380556;26.3775419;147.69216
UE;3;2022;13;386;1.175;14.5;20;12.9;NA;20.6;1.084;21;12.9;NA;19.94;92.25531915;7.744680851;0.091;16.3162052;12.64212074;-2.732227823;72.9;0.154950045;19.3860905;134.0064
UE;2;2022;13;386;1.177;14.5;20;12.9;NA;20.6;0.89;21;12.9;NA;20.47;75.61597281;24.38402719;0.287;16.3162052;12.64212074;-2.732227823;72.9;0.154950045;19.3860905;134.234496
UE;3;2021;8;238;1.231;14.5;12;20.93;0.46;14.63;0.611;13;32.17;0.43;12.07;49.63444354;50.36555646;0.62;8.830695679;9.355555332;0.279471998;180.3;0.220495968;50.52911268;140.393088
UE;2;2021;8;238;1.236;14.63;12;35.53;0.33;14.5;0.71;12;37.43;0.35;15.1;57.4433657;42.5566343;0.526;8.830695679;9.355555332;0.279471998;180.3;0.220495968;50.52911268;140.963328
UE;3;2021;9;273;1.243;15.28;16;28.76;0.46;15.28;0.543;16;NA;NA;NA;43.68463395;56.31536605;0.7;13.98630648;10.02274398;-0.770357407;112.7;0.324565741;47.44897917;141.761664
UE;2;2021;9;273;1.245;15.3;16;NA;NA;NA;0.74;15;26.4;0.54;15.3;59.437751;40.562249;0.505;13.98630648;10.02274398;-0.770357407;112.7;0.324565741;47.44897917;141.98976
UE;1;2021;3;65;1.36;14.66;19;9.4;NA;14.66;0.82;23.15;NA;NA;NA;60.29411765;39.70588235;0.54;11.9149181;12.52240684;-2.973684162;7.9;0.105812612;14.16234407;155.10528
UE;4;2022;15;453;1.4;14.2;13;4.01;1.01;30.09;0.787;13;5.88;1.05;25.93;56.21428571;43.78571429;0.613;13.09194213;12.35418356;1.054762731;117;0.175380556;26.3775419;159.6672
UE;2;2022;15;453;1.4;14;15;4.01;1.01;30.09;0.752;NA;NA;NA;NA;53.71428571;46.28571429;0.648;13.09194213;12.35418356;1.054762731;117;0.175380556;26.3775419;159.6672
UE;2;2021;3;65;1.45;16;19;NA;NA;NA;0.951;23.15;8.9;NA;21.66;65.5862069;34.4137931;0.499;11.9149181;12.52240684;-2.973684162;7.9;0.105812612;14.16234407;165.3696
UE;1;2021;10;282;1.52;18;19;NA;NA;NA;0.764;19;66.23;0.65;17.73;50.26315789;49.73684211;0.756;15.4688172;10.88723096;-2.263324821;62.7;0.184021953;50.38998499;173.35296
